"address","lon","lat","as.character.d.display_name.","elapsed_time"
" Rokolya utca 38. Budapest XIII. kerület",19.0923616166667,47.54147835,"38, Rokolya utca, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1131, Magyarország",0.280629873275757
" Angyalföld Budapest XIII. kerület",19.0895103,47.5502218,"Angyalföld, Kámfor utca, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1131, Magyarország",0.250916004180908
" Bulcsú utca Budapest VI. kerület",19.0653796,47.5166358,"Bulcsú utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1062, Magyarország",0.278172016143799
" Páva utca Budapest IX. kerület",19.0723167,47.4817947,"Páva utca, Corvin negyed, VIII. kerület, Budapest, Közép-Magyarország, 1094, Magyarország",0.271939039230347
" Viola utca Budapest IX. kerület",19.0758644,47.4811591,"Viola utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1094, Magyarország",0.271255016326904
" Tompa utca Budapest IX. kerület",19.0686928,47.4831722,"Tompa utca, Belso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",0.266236066818237
" Delej utca Budapest VIII. kerület",19.0949478,47.4805431,"Delej utca, Tisztviselotelep, VIII. kerület, Budapest, Közép-Magyarország, 1089, Magyarország",0.243772983551025
" Mátyás tér Budapest VIII. kerület",19.0797517414564,47.49196545,"Mátyás tér, Magdolna negyed, VIII. kerület, Budapest, Közép-Magyarország, 1084, Magyarország",0.294005155563354
" Külso-Terézváros Budapest VI. kerület",19.0253263,47.5091897,"külso lépcso, Fény utcai piac, Országút, II. kerület, Budapest, Közép-Magyarország, 1024, Magyarország",0.254446983337402
" Lipótváros Budapest V. kerület",19.0503804,47.5045431,"Lipótváros, V. kerület, Budapest, Közép-Magyarország, Magyarország",0.278568983078003
" Külso-Erzsébetváros Budapest VII. kerület",NA,NA,NA,0.275641918182373
" Külso-Erzsébetváros Budapest VII. kerület",NA,NA,NA,0.529115915298462
" Józsefváros – Népszínháznegyed Budapest VIII. kerület",NA,NA,NA,0.246731042861938
" Újpesti lakótelep Budapest IV. kerület",19.0983304,47.5627134,"Újpesti lakótelep, Újpest, IV. kerület, Budapest, Közép-Magyarország, 1041, Magyarország",0.260694980621338
" Újpesti lakótelep Budapest IV. kerület",19.0983304,47.5627134,"Újpesti lakótelep, Újpest, IV. kerület, Budapest, Közép-Magyarország, 1041, Magyarország",0.271646976470947
" Herminamezo Budapest XIV. kerület",19.0997228,47.5186841,"Herminamezo, XIV. kerület, Budapest, Közép-Magyarország, Magyarország",0.263901948928833
" Alsórákos Budapest XIV. kerület",19.1282801,47.5251778,"Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, Magyarország",0.256012916564941
" Újpest Budapest IV. kerület",19.0920734,47.5671397,"Újpest, IV. kerület, Budapest, Közép-Magyarország, Magyarország",0.264868021011353
" Árpád utca Budapest XXI. kerület",19.0292167,47.4260259,"Árpád utca, Felsováros, Budafok, XXII. kerület, Budapest, Közép-Magyarország, 1222, Magyarország",0.276116132736206
" Középso-Ferencváros – Rehabilitációs terület Budapest IX. kerület",NA,NA,NA,0.266853094100952
" Nyár utca Budapest VII. kerület",19.0654849,47.4979049,"Nyár utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1072, Magyarország",0.26705002784729
" Egressy út Budapest XIV. kerület",19.1304674,47.5224002,"Egressy út, Paskál lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.256541967391968
