"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg"
"11" "23.5" "50" "1" " 18. kerület, Szent Lorinc-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"12" "38" "30" "1" " 5. kerület, Báthory utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gázkazán" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "5 m²" "igen" "nincs megadva" NA "utca, közterület" NA
"13" "32.9" "43" "1" " 22. kerület, Tenkes utca 5/b " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" NA NA "utca, közterület - ingyenes" "25 000 Ft/hó"
"14" "29" "28" "1" " 11. kerület, Nagyszeben tér 1. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"15" "82" "82" "2" " 8. kerület, Baross utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "14 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"16" "34.2" "48" "2" " 3. kerület, Kórház utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"17" "28.99" "51" "2" " 3. kerület, Hollós Korvin Lajos utca " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"18" "26.5" "46" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"19" "21" "40" "1" " 14. kerület, Törökor " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület" NA
"20" "28.5" "41" "1" " 8. kerület, Bezerédi utca 13. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA
