"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg"
"11" "11.8" "31" "1" " 20. kerület, Erzsébetfalva " "felújítandó" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"12" "42.6" "58" "2" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "3 m²" NA NA
"13" "128" "125" "3" " 2. kerület, Kapy utca " "jó állapotú" "összkomfortos" "AA+" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "1950-1980 között" NA "20 m²" NA NA
"14" "62.9" "81" "3" " 14. kerület, Törökor " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "6 m²" NA NA
"15" "29.9" "31" "1" " 5. kerület, Aranykéz utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "nincs megadva" "1950 elott" "nincs" NA NA NA
"16" "36" "62" "3" " 2. kerület, Víziváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"17" "54.9" "62" "2" " 7. kerület, Kertész utca " "felújított" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA "17 500 Ft/hó"
"18" "57" "64" "2" " 9. kerület, Balázs Béla utca 15-21. " "újszeru" "összkomfortos" "A" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "3 m²" "5 M Ft" "30 000 Ft/hó"
"19" "26.9" "36" "1" " 6. kerület, Székely Bertalan utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
"20" "91.9" "97" "4" " 6. kerület, Zichy Jeno utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
