"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"11" "77.66" "113" "5" " 4. kerület, Székesdulo " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "44.8 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA
"12" "51.9" "50" "2" " 1. kerület, Lánchíd utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "dél" "udvari" NA "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "27.5" "52" "2" " 3. kerület, Óbudai lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "részt vett"
"14" "59.3" "86" "2" " 11. kerület, Karinthy Frigyes út " "felújítandó" NA "duplakomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (konvektor), cserépkályha" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"15" "29.9" "53" "2" " 13. kerület, Faludi utca " "felújítandó" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett"
"16" "28.99" "31" "1" " 3. kerület, Kiscelli utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "24.5" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"18" "18.9" "32" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "elektromos" "van" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"19" "12.9" "29" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"20" "44.9" "62" "3" " 11. kerület, Kelenföld " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett"
