"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara" "lakopark_neve"
"11" "148" "115" "6" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "nincs megadva" "AA" "6" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2018" "van" NA "125.6 m²" NA NA
"12" "99.99" "111" "5" " 13. kerület, Petneház Társasház " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "északkelet" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "11.98 m²" "4.25 M Ft" NA
"13" "39.9" "50" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"14" "40.9" "50" "2" " 13. kerület, BERKO HOME " "új építésu" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "3.63 m²" "3 M Ft" "BERKO HOME"
"15" "49.75" "75" "3" " 13. kerület, BERKO HOME " "új építésu" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "3.62 m²" "3 M Ft" "BERKO HOME"
"16" "62" "80" "2" " 2. kerület, Árpád fejedelem útja " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "8 m²" NA NA
"17" "41.5" "51" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"18" "126.86" "92" "3" " 5. kerület, Báthory utca 20. " "felújított" "luxus" "AA++" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" "50 000 Ft/hó" "3 m²" NA NA
"19" "69.5" "102" "3" " 11. kerület, Kruspér utca 3. " "közepes állapotú" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "nincs megadva" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "20 140 Ft/hó" NA NA NA
"20" "75.78" "97" "2" " 13. kerület, Szent István körút " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
