"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"11" "55.9" "89" "3" " 9. kerület, Ülloi út 19. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "30 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "30 000 Ft/hó" NA NA
"12" "187.95" "136" "4" " 11. kerület, Oltvány utca 13. " "újszeru" "2020" "luxus" "AA+" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "54 m²" "nincs megadva" "penthouse" "teremgarázs hely - megvásárolható" NA "5 M Ft" NA
"13" "173.26" "125" "3" " 11. kerület, Oltvány utca 13. " "nincs megadva" "2020" "luxus" "AA+" "földszint" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "20 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA "5 M Ft" NA
"14" "24.49" "35" "1" " 4. kerület, Árpád út " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" NA "igen" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "30 000 Ft/hó" NA "nincs megadva"
"15" "49.5" "82" "3" " 11. kerület, Hengermalom út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"16" "49.9" "95" "3" " 8. kerület, Déri Miksa utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"17" "32.99" "33" "1" " 13. kerület, Tahi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "nincs megadva" "dél" "panorámás" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "38.5" "50" "2" " 14. kerület, Mogyoródi út " "felújított" NA "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"19" "38.5" "78" "3" " 15. kerület, Páskomliget utca " "felújított" NA "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"20" "58.9" "94" "3" " 6. kerület, Munkácsy Mihály utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko), gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
