"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "49.7" "71" "2" " 9. kerület, Vaskapu utca " "jó állapotú" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"12" "49.4" "66" "2.5" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"13" "105.9" "118" "4" " 12. kerület, Krisztina körút " "felújított" "nincs megadva" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "fan-coil" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"14" "44.7" "65" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"15" "52.9" "53" "2" " 6. kerület, Király utca " "felújított" "összkomfortos" "H" "2" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"16" "26.5" "51" "2" " 8. kerület, Szigony utca " "jó állapotú" "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" NA "4 m²" NA
"17" "72" "83" "3" " 9. kerület, Berzenczey utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "van" "4 m²" "3 M Ft"
"18" "119" "161" "4" " 9. kerület, Bakáts utca " "jó állapotú" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "padlófutés, gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "nincs" NA NA
"19" "74.9" "118" "2" " 8. kerület, Bauer Sándor utca " "jó állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2018" NA "40 m²" NA
"20" "78.9" "113" "2" " 7. kerület, Garay utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
