"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"11" "105.2" "100" "4" " 13. kerület, Kassák Residence " "új építésu" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2018" NA "55.6 m²" NA "Kassák Residence" "3.6 M Ft"
"12" "165" "135" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA NA
"13" "64.99" "78" "2" " 12. kerület, Kissvábhegy " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "4 m²" NA NA NA
"14" "85" "83" "4" " 3. kerület, Selmeci utca " "újszeru" "összkomfortos" "AA+" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" "4 m²" NA NA "4 M Ft"
"15" "64.9" "64" "3" " 6. kerület, Jókai utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"16" "80.5" "103" "3" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "3 m²" "23 Ft/hó" NA NA
"17" "22.9" "39" "1" " 14. kerület, Nagy Lajos király útja " "felújítandó" "komfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA NA NA NA
"18" "44" "81" "2" " 14. kerület, Szugló utca 109. " "felújított" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA NA NA
"19" "99.9" "120" "4" " 13. kerület, Katona József utca " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA "55 000 Ft/hó" NA NA
"20" "22.9" "23" "1" " 14. kerület, Telepes utca 1/B " "felújított" "összkomfortos" "DD" "4" "5" "nincs" "3 m vagy magasabb" "elektromos, egyéb" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "van" NA "9 000 Ft/hó" NA NA
