"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara" "lakopark_neve"
"11" "46.3" "95" "2.5" " 15. kerület, Deák utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nincs megadva" "udvari beálló - bérelheto" "35 000 Ft/hó" NA NA "10 000 Ft/hó" NA
"12" "33" "48" "2" " 3. kerület, Vörösvári út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "3 m²" "részt vett" NA NA
"13" "32.1" "65" "2" " 10. kerület, Harmat utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" NA "10 m²" NA NA NA
"14" "95" "65" "2" " 1. kerület, Márvány utca " "nincs megadva" "2019" "luxus" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA "25 m²" NA "6.5 M Ft" NA
"15" "71.33" "58" "2" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - megvásárolható" NA "62.68 m²" NA "4.5 M Ft" "Forest Hill Lakópark"
"16" "31.5" "55" "2" " 14. kerület, Bosnyák tér " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"17" "49.9" "61" "2" " 5. kerület, Vármegye utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"18" "35.9" "63" "2" " 17. kerület, Szabadság utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "28 000 Ft/hó" "3 m²" NA NA NA
"19" "49.9" "150" "4" " 19. kerület, Vásár tér " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "33.5" "52" "2" " 3. kerület, Szolo utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" NA "részt vett" NA NA
