"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "lakopark_neve" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "56.5" "55" "2" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "19.6 m²" "Paskal Garden" NA NA NA
"12" "26.9" "53" "1" " 18. kerület, Szent Lorinc lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs" NA NA
"13" "34.9" "51" "3" " 15. kerület, Pozsony utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "5 m²" NA NA NA NA
"14" "27" "53" "2" " 15. kerület, Nyírpalota út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"15" "42" "52" "2" " 8. kerület, Fiumei út " "felújított" "1950 elott" "összkomfortos" "AA++" "4" "4" "nincs" "3 m-nél alacsonyabb" "padlófutés, elektromos" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA "10 000 Ft/hó"
"16" "25.95" "34" "1" " 6. kerület, Podmaniczky utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "47.9" "54" "1" " 7. kerület, Wesselényi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA "16 000 Ft/hó"
"18" "56.9" "99" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"19" "22.3" "31" "1" " 19. kerület, Pannónia út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA NA "11 750 Ft/hó"
"20" "43" "73" "3" " 7. kerület, Garay utca 22. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA NA
