"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "23" "54" "2" " 10. kerület, Harmat utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA "nincs megadva" NA
"12" "15.2" "30" "1" " 4. kerület, Semmelweis utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nem" "egy helyiségben" "dél" "nincs megadva" "igen" "nincs megadva" "utca, közterület - ingyenes" "20 m²" "20 000 Ft/hó" NA NA
"13" "56" "48" "1" " 9. kerület, Lónyay utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "10 000 Ft/hó" NA NA
"14" "41" "69" "3" " 3. kerület, Búvár utca 1. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"15" "38.9" "71" "2" " 4. kerület, Erzsébet utca 19. " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" "40 000 Ft/hó" "nem vett részt" NA
"16" "100" "100" "4" " 2. kerület, Petrezselyem utca " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "tetotéri" "önálló garázs - megvásárolható" NA "38 Ft/hó" NA "8 M Ft"
"17" "31.5" "48" "2" " 3. kerület, Szolo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA "nincs megadva" NA
"18" "67" "77" "3" " 9. kerület, Mester utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "35 000 Ft/hó" NA NA
"19" "29.9" "52" "2" " 3. kerület, Matróz utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"20" "25.8" "41" "1" " 13. kerület, Szent László út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" "40 Ft/hó" NA NA
