"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "21.9" "43" "1" " 10. kerület, Petroczy utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "25 000 Ft/hó" NA
"12" "24.9" "56" "2" " 21. kerület, Kossuth Lajos utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nincs megadva"
"13" "221.4" "164" "5" " 5. kerület, József nádor tér " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "utcai" "12 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "36.9" "53" "2" " 14. kerület, Mogyoródi út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "36.5" "66" "2" " 3. kerület, Csillaghegy " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "99.9" "119" "3" " 11. kerület, Nevegy köz 3. " "jó állapotú" "2001-2010 között" "összkomfortos" "B" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA "van" NA NA
"17" "110" "120" "3" " 11. kerület, Nevegy köz 3. " "jó állapotú" "2001-2010 között" "összkomfortos" "B" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA "van" NA NA
"18" "34.4" "35" "1" " 13. kerület, Hollán Erno utca " "felújított" NA "összkomfortos" "AA" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"19" "43.8" "48" "2" " 11. kerület, Fadrusz utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"20" "25.9" "27" "1" " 3. kerület, Nánási út " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
