"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "28.9" "36" "1" " 8. kerület, Rákóczi út 51. " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "7" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "25 000 Ft/hó" NA
"12" "104.9" "90" "3" " 1. kerület, Attila út 1. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA "16 000 Ft/hó" NA
"13" "64.95" "83" "4" " 13. kerület, Dolmány utca 35. " "újszeru" "2001-2010 között" "duplakomfortos" "DD" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön és egyben is" "délnyugat" "udvari" "7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "22 600 Ft/hó" "3.5 M Ft"
"14" "167" "132" "4" " 2. kerület, Lívia utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gázkazán" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "56 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA
"15" "27.9" "59" "2" " 19. kerület, Nagysándor József utca " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" "30 000 Ft/hó" NA
"16" "69.8" "55" "2" " 11. kerület, Kondorosi út " "újszeru" "2001-2010 között" "összkomfortos" "CC" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "panorámás" "96 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" NA "25 000 Ft/hó" NA
"17" "26.9" "46" "1" " 14. kerület, Cserto utca 18-20 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" NA
"18" "36.9" "49" "2" " 3. kerület, Szolo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "részt vett" "29 000 Ft/hó" NA
"19" "28.9" "35" "1" " 7. kerület, Király utca 87. " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "71.8" "78" "3" " 13. kerület, Gogol utca 26. " "újszeru" "2001-2010 között" "duplakomfortos" "BB" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.5 M Ft"
