"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "lakopark_neve" "parkolohely_ara" "rezsikoltseg"
"11" "28.9" "55" "2" " 15. kerület, Zsókavár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²" NA NA NA
"12" "129" "108" "2" " 6. kerület, Dózsa György út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA NA NA "21 000 Ft/hó"
"13" "53" "62" "3" " 8. kerület, Józsefváros – Corvinnegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely" "van" "6.3 m²" NA NA NA
"14" "55.9" "70" "3" " 7. kerület, Rottenbiller utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "nincs megadva" "van" NA NA NA NA
"15" "23.9" "44" "1" " 10. kerület, Gergely utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "nincs" "2 m²" NA NA NA
"16" "29.9" "54" "2" " 4. kerület, Rózsa utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "nincs" "4 m²" NA NA "35 000 Ft/hó"
"17" "59.9" "73" "2" " 5. kerület, Molnár utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"18" "28.49" "54" "2" " 4. kerület, Nyár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "nincs" "4 m²" NA NA "35 000 Ft/hó"
"19" "33.99" "64" "4" " 4. kerület, Káposztásmegyer I. lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "van" "4.3 m²" NA NA "30 000 Ft/hó"
"20" "39.9" "45" "1" " 7. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA NA
