"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"11" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA "14 000 Ft/hó" NA NA
"12" "183" "85" "3" " 5. kerület, Lipótváros " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "falfutés" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "5 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "van" NA NA NA
"13" "25.5" "56" "2" " 10. kerület, Kobánya – Óhegy " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"14" "33.9" "31" "1" " 8. kerület, Nap utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "utcai" "2 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"15" "28.2" "24" "1" " 7. kerület, Sajó utca " "nincs megadva" "2014" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"16" "64.36" "45" "2" " 13. kerület, Park West " "új építésu" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "66.05 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "Park West" "3.49 M Ft"
"17" "35.01" "30" "1" " 13. kerület, Park West " "új építésu" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "8.62 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "Park West" "3.49 M Ft"
"18" "50.87" "43" "1" " 13. kerület, Park West " "új építésu" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "19.86 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "Park West" "3.49 M Ft"
"19" "63.53" "64" "2" " 13. kerület, Park West " "új építésu" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "16.16 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "Park West" "3.49 M Ft"
"20" "40.16" "33" "1" " 13. kerület, Park West " "új építésu" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "12.98 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "Park West" "3.49 M Ft"
