"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "29.9" "53" "2" " 4. kerület, Nyár utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"12" "78.9" "79" "2" " 5. kerület, Ferenciek tere " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" "12 000 Ft/hó" NA NA
"13" "33.9" "65" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "nincs megadva" NA
"14" "23" "32" "1" " 22. kerület, Budafok-Belváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "19.9" "40" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA
"16" "49.5" "50" "1" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"17" "36.9" "37" "1" " 11. kerület, Szalóki utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "29.2" "38" "1" " 11. kerület, Hamzsabégi út " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "24.5" "56" "2" " 20. kerület, Eperjes utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" NA "nincs megadva" NA NA NA NA
"20" "167.99" "117" "4" " 7. kerület, Erzsébet körút " "felújított" NA "luxus" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
