"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "30.7" "49" "2" " 11. kerület, Etele út " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" NA "részt vett" NA "5 m²" NA
"12" "49.5" "61" "3" " 11. kerület, Albertfalva " "nincs megadva" "összkomfortos" "AA+" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2019" NA NA "van" "9 m²" "4.5 M Ft"
"13" "97" "109" "4" " 3. kerület, Ürömhegyi út " "jó állapotú" "nincs megadva" "AA" "1" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" "2001-2010 között" NA NA NA "103 m²" NA
"14" "31.5" "48" "2" " 3. kerület, Szolo utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "részt vett" NA "4 m²" NA
"15" "54.9" "40" "1" " 6. kerület, Szondi utca 31. " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko), elektromos" "nincs megadva" "külön helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "8 300 Ft/hó" NA "nincs" "16 m²" NA
"16" "41.5" "44" "1" " 13. kerület, Katona József utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA NA
"17" "24.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "10 000 Ft/hó" "nem vett részt" "nincs" "3 m²" NA
"18" "31.99" "72" "2" " 10. kerület, Gyakorló utcai lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs megadva" NA "4 m²" NA
"19" "31.5" "72" "3" " 21. kerület, Csepel-Belváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "30 000 Ft/hó" "nincs megadva" "van" NA NA
"20" "12" "60" "2" " 9. kerület, Földváry utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
