"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "49.85" "54" "1" " 11. kerület, Irinyi József utca " "felújított" NA "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "dél" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "32 000 Ft/hó" NA
"12" "89.9" "146" "6" " 7. kerület, Bethlen Gábor utca 43. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "39.7" "51" "2" " 7. kerület, Dembinszky utca 4. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "79.6" "64" "2" " 1. kerület, Batthyány utca 31. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "padlófutés" "van" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"15" "34.9" "40" "1" " 3. kerület, Pacsirtamezo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "49.9" "53" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "19.9" "26" "1" " 13. kerület, Gömb utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"18" "380" "200" "4" " 5. kerület, Lipótváros " "újszeru" "2018" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "panorámás" "57 m²" "nem" "penthouse" "nincs megadva" NA "50 000 Ft/hó" NA
"19" "27.49" "53" "2" " 4. kerület, Rózsa utca 1-7 " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "10 600 Ft/hó" NA
"20" "62.49" "66" "2" " 3. kerület, Csengobojt utca " "nincs megadva" "2020" "összkomfortos" "AA+" "3" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "dél" "nincs megadva" "19.93 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4 M Ft"
