"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo"
"11" "34.9" "54" "2" " 11. kerület, Kaptárko utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "nincs"
"12" "28.8" "36" "1" " 14. kerület, Padlizsán utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" NA "nincs megadva" "nincs"
"13" "119" "125" "3" " 8. kerület, Krúdy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti" "90 000 Ft/hó" "nincs megadva" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs"
"14" "46.9" "99" "3.5" " 22. kerület, Nagytétényi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "tetotéri" NA "nincs megadva" NA
"15" "40.9" "45" "2" " 1. kerület, Ostrom utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"16" "38.9" "76" "2" " 7. kerület, István utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA
"17" "53" "47" "1" " 12. kerület, Mártonhegyi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "6 m²" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "van"
"18" "34.9" "51" "2" " 3. kerület, Vízimolnár utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "40 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "zárószint" "nincs megadva" "utca, közterület - ingyenes" NA
"19" "99.9" "90" "2" " 13. kerület, Újlipótváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"20" "30.9" "55" "2" " 13. kerület, Rokolya utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "igen" "nincs megadva" NA "utca, közterület - fizetos övezet" "nincs"
