"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "erkely" "rezsikoltseg" "panelprogram"
"11" "36" "67" "3" " 4. kerület, Ugró Gyula sor " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" NA "nincs megadva" NA "7 m²" NA NA
"12" "41.5" "48" "2" " 14. kerület, Vezér utca 150. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA "15 000 Ft/hó" NA
"13" "57.2" "76" "3" " 13. kerület, Gömb utca 4. " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "2.5 M Ft" "9 m²" "40 000 Ft/hó" NA
"14" "28.4" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nem vett részt"
"15" "58.5" "74" "2" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "35 000 Ft/hó" NA
"16" "32.9" "53" "1" " 4. kerület, Deák Ferenc utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "9 550 Ft/hó" "részt vett"
"17" "32" "47" "2" " 3. kerület, Kis Korona utca 12. " "jó állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "4 m²" NA "nincs megadva"
"18" "55.9" "56" "1" " 6. kerület, Szív utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA
"19" "25.8" "29" "1" " 13. kerület, Fáy köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "29.9" "46" "2" " 19. kerület, Jázmin utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "északnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
