"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "31.9" "55" "2" " 15. kerület, Vácegres utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"12" "93" "97" "4" " 8. kerület, Rákóczi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "van" "nem" "külön és egyben is" "nincs megadva" "udvari" "8 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "50 000 Ft/hó" NA NA
"13" "34.9" "40" "2" " 9. kerület, Tompa utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "60" "88" "3" " 6. kerület, Felso erdosor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"15" "94.79" "101" "3" " 11. kerület, Mikes Kelemen utca " "nincs megadva" "2019" "duplakomfortos" "AA++" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "37 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.5 M Ft"
"16" "88.3" "61" "3" " 3. kerület, Mátyáshegy " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "2" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "27 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "2.5 M Ft"
"17" "23.5" "35" "1" " 7. kerület, Csengery utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület" "25 000 Ft/hó" NA NA
"18" "33.99" "46" "1" " 14. kerület, Zászlós utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "26.9" "48" "1" " 20. kerület, Gubacsipuszta " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" NA "utca, közterület" NA NA NA
"20" "29.5" "61" "3" " 21. kerület, Csepel-Erdosor-lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "6 m²" "nincs megadva" NA "nincs megadva" NA NA NA
