"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "69" "58" "3" " 2. kerület, Kurucles " NA "újszeru" "2012" "luxus" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "északnyugat" "kertre nézo" "10 m²" "nem" "nem tetotéri" "teremgarázs hely" NA "nincs" "20 000 Ft/hó" NA
"12" "49.9" "76" "3" " 11. kerület, Brassó út " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
"13" "90" "94" "2" " 2. kerület, Nyúl utca " NA "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"14" "125" "120" "4" " 7. kerület, Kéthly Anna tér " NA "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs" NA NA
"15" "49.9" "48" "2" " 12. kerület, Árnyas út " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "panorámás" "6.5 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "5 M Ft" "nincs" "35 000 Ft/hó" NA
"16" "25.9" "55" "2" " 18. kerület, Dolgozó út " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "utcai" "4 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"17" "31.2" "49" "2" " 10. kerület, Gyárdulo " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "nincs megadva" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA NA "25 000 Ft/hó" NA
"18" "29.89" "57" "2" " 3. kerület, Jós utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "13 000 Ft/hó" "nincs megadva"
"19" "66.8" "68" "3" " 12. kerület, Gaál József út " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "43.99" "63" "2" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA NA NA NA
