"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "65.3" "60" "3" " 6. kerület, Belso-Terézváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "36.9" "55" "2.5" " 7. kerület, Rottenbiller utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"13" "73.7" "109" "4" " 6. kerület, Külso-Terézváros " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "59.9" "94" "2" " 11. kerület, Kelenföld " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "65" "89" "3" " 2. kerület, Frankel Leó út " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "49.9" "44" "2" " 6. kerület, Teréz körút " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "49.9" "47" "2" " 6. kerület, Teréz körút " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"18" "49.9" "44" "2" " 6. kerület, Teréz körút " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"19" "49.9" "47" "2" " 6. kerület, Teréz körút " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"20" "28.9" "54" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nem vett részt"
