"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"11" "55.9" "76" "2" " 11. kerület, Kisköre utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "35 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "tetotéri" "utca, közterület - ingyenes" NA
"12" "42.5" "59" "3" " 8. kerület, Rákóczi tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA
"13" "94" "122" "3" " 7. kerület, Hernád utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA
"14" "46" "57" "2" " 12. kerület, Táltos utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"15" "36.6" "68" "3" " 9. kerület, Mihálkovics utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gázkazán" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"16" "49.73" "51" "1" " 6. kerület, Rippl-Rónai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"17" "23.5" "35" "1" " 17. kerület, Borsó utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva"
"18" "24.5" "49" "2" " 10. kerület, Harmat utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nem" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" "nem vett részt"
"19" "65" "55" "2" " 12. kerület, Sashegyi út 25. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "északkelet" "kertre nézo" "23 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA
"20" "34.9" "53" "2" " 18. kerület, Havanna utca " "felújított" "1981-2000 között" "összkomfortos" "CC" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "részt vett"
