"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "49.9" "62" "2" " 6. kerület, Németh László utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" "25 000 Ft/hó" NA NA NA
"12" "39.5" "65" "2" " 4. kerület, József Attila utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA NA NA "5 M Ft"
"13" "22.99" "53" "2" " 15. kerület, Drégelyvár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" NA "nem vett részt" NA
"14" "34.9" "64" "3" " 8. kerület, Losonci tér " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "4.5 m²" "részt vett" NA
"15" "62.9" "56" "2" " 11. kerület, Sasad " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "10 m²" NA "5 M Ft"
"16" "79.9" "83" "2" " 2. kerület, Orsó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" NA NA NA
"17" "61.9" "66" "2" " 2. kerület, Frankel Leó út " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA "4 m²" NA NA
"18" "39.4" "58" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"19" "27.7" "40" "1" " 13. kerület, Angyalföld " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"20" "26.5" "55" "3" " 15. kerület, Páskomliget utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "4.3 m²" "nincs megadva" NA
