"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"11" "34.9" "32" "1" " 11. kerület, Kondorosi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"12" "33.9" "74" "3" " 17. kerület, Pesti út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" NA "utca, közterület - ingyenes" NA NA
"13" "34.8" "60" "2" " 6. kerület, Teréz körút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "6 000 Ft/hó" NA
"14" "24.2" "21" "1" " 6. kerület, Csengery utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"15" "37.9" "47" "2" " 11. kerület, Bartók Béla út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"16" "69.9" "79" "2" " 2. kerület, Vérhalom " "nincs megadva" NA "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "10 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"17" "19.9" "34" "1" " 18. kerület, Kiss Erno utca 2. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "elektromos, gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"18" "12" "16" "1" " 19. kerület, Hungária út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" NA
"19" "62" "107" "2" " 8. kerület, Népszínház utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "17 000 Ft/hó" NA
"20" "34" "35" "1" " 13. kerület, Szent László út 168. " "újszeru" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" NA "igen" "nincs megadva" "dél" "kertre nézo" "60 m²" "igen" "nincs megadva" "udvari beálló" NA NA
