"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara"
"11" "61.8" "77" "3" " 13. kerület, Angyalföld " "újszeru" "2017" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "van" "3 M Ft"
"12" "109" "116" "4" " 6. kerület, Székely Mihály utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"13" "65" "73" "2" " 2. kerület, Felso Zöldmáli út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" NA NA "nincs megadva" NA NA
"14" "31.9" "53" "2" " 4. kerület, Deák Ferenc utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA
"15" "30.5" "33" "1" " 11. kerület, Fraknó utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "van" NA
"16" "52" "66" "2" " 11. kerület, Fehérvári út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"17" "40" "52" "2" " 11. kerület, Etele út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"18" "49.99" "89" "2" " 10. kerület, Ihász utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"19" "59" "47" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"20" "23.49" "49" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA NA
