"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "lakopark_neve"
"11" "74.99" "109" "5" " 13. kerület, Újlipótváros " "közepes állapotú" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "50 000 Ft/hó" NA NA
"12" "60" "58" "1" " 6. kerület, Káldy Gyula utca " "nincs megadva" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA NA
"13" "45.8" "69" "2" " 13. kerület, Hegedus Gyula utca 26-38 " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" "46 000 Ft/hó" NA NA
"14" "18.9" "30" "1" " 20. kerület, Török Flóris utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "elektromos, egyéb" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA NA
"15" "78" "45" "1" " 5. kerület, Belgrád rakpart 27. " "felújítandó" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "12 000 Ft/hó" NA NA
"16" "200" "103" "3" " 12. kerület, Istenhegyi 14 " "új építésu" "luxus" "nincs megadva" "2" "3" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "53.38 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "van" NA "6 M Ft" "Istenhegyi 14"
"17" "165.3" "107" "3" " 12. kerület, Istenhegyi 14 " "új építésu" "luxus" "nincs megadva" "földszint" "3" "van" "nincs megadva" "mennyezeti hutés-futés, padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "18.69 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "van" NA "6 M Ft" "Istenhegyi 14"
"18" "200" "103" "3" " 12. kerület, Istenhegyi 14 " "új építésu" "luxus" "nincs megadva" "2" "3" "van" "nincs megadva" "mennyezeti hutés-futés, padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "53 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "van" NA "6 M Ft" "Istenhegyi 14"
"19" "310" "149" "3" " 12. kerület, Istenhegyi 14 " "új építésu" "luxus" "nincs megadva" "2" "3" "van" "nincs megadva" "mennyezeti hutés-futés, padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "178 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "van" NA "6 M Ft" "Istenhegyi 14"
"20" "310" "149" "4" " 12. kerület, Istenhegyi 14 " "új építésu" "luxus" "nincs megadva" "2" "3" "van" "nincs megadva" "mennyezeti hutés-futés, padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "177.83 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "van" NA "6 M Ft" "Istenhegyi 14"
