"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram" "legkondicionalo"
"11" "79" "117" "4" " 11. kerület, Bertalan Lajos utca 20. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"12" "87.9" "97" "4" " 2. kerület, Lövoház utca 16. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA "nincs"
"13" "134.99" "90" "3" " 11. kerület, Gellérthegy " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"14" "27.5" "49" "2" " 3. kerület, Szolo utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA NA "részt vett" NA
"15" "99.8" "90" "2" " 13. kerület, Szent István park " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" NA NA NA NA
"16" "35.9" "68" "2" " 4. kerület, Székpatak utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "6 m²" NA "32 000 Ft/hó" "nincs megadva" NA
"17" "27.9" "51" "2" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "nincs megadva" NA
"18" "31.9" "39" "1" " 8. kerület, Bródy Sándor utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"19" "71.9" "73" "2" " 7. kerület, Dohány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"20" "146" "176" "5" " 11. kerület, Pösingermajor " "új építésu" "2019" "luxus" "AA+" "1" "2" "nincs" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "nem" "külön és egyben is" "dél" "panorámás" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "52 m²" "5 M Ft" NA NA "van"
