"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "25.9" "34" "1" " 8. kerület, József utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "24.99" "35" "1" " 10. kerület, Somfa köz " "felújított" "1950-1980 között" "nincs megadva" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "részt vett" NA
"13" "18.9" "30" "1" " 20. kerület, Bányász utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" NA NA NA
"14" "79.9" "109" "3" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"15" "26.8" "35" "1" " 13. kerület, Váci út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "30.99" "55" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "1950-1980 között" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "tetotéri" "utca, közterület" NA NA NA NA
"17" "50.5" "85" "3" " 17. kerület, Hegyalatti utca 6. " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "penthouse" "udvari beálló - benne van az árban" "30 000 Ft/hó" "13 m²" NA NA
"18" "51" "61" "3" " 5. kerület, Kálvin tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA NA
"19" "75.9" "60" "2" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "49" "54" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "padlófutés" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
