"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "28.8" "61" "2" " 21. kerület, Csepel-Erdosor-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" NA "utca, közterület" NA NA NA NA NA
"12" "139" "146" "3" " 3. kerület, Óbuda-Óváros " "befejezetlen" NA "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "penthouse" "teremgarázs hely - megvásárolható" NA "135 m²" NA NA "4 M Ft"
"13" "33.9" "39" "1" " 7. kerület, Rózsa utca 27. " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA NA
"14" "26.9" "36" "1" " 3. kerület, Kórház utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti" "igen" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"15" "25.9" "59" "2" " 18. kerület, Havanna utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA
"16" "22.2" "36" "1" " 10. kerület, Hang utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA
"17" "32.9" "70" "2" " 23. kerület, Újtelep út " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"18" "26.9" "58" "2" " 22. kerület, Budatétény – Rózsakert utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA NA
"19" "20.8" "28" "1" " 14. kerület, Herminamezo " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "3 m²" NA NA NA
"20" "31.99" "26" "1" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "elektromos, egyéb" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA "12 000 Ft/hó" NA
