"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "rezsikoltseg"
"11" "75" "35" "1" " 5. kerület, Balassi Bálint utca " "jó állapotú" "1950 elott" "összkomfortos" "CC" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "egy helyiségben" "északnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1 m²" NA
"12" "59.9" "80" "3" " 16. kerület, Mátyásföld – Petofikert " "újszeru" "2011" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" "18 m²" NA
"13" "28.9" "72" "2" " 18. kerület, Havanna-lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA
"14" "44.9" "47" "2" " 12. kerület, Mártonhegy " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "igen" "nincs megadva" NA "nincs megadva" "6 m²" NA
"15" "98.14" "88" "3" " 6. kerület, Rózsa utca " "újszeru" "2020" "összkomfortos" "BB" "3" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "30.84 m²" NA
"16" "31.9" "68" "3" " 15. kerület, Újpalota " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "92" "86" "3" " 11. kerület, Péterhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely" "8 m²" NA
"18" "73.17" "77" "2" " 6. kerület, Rózsa utca " "újszeru" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"19" "69" "68" "1" " 11. kerület, Péterhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "északkelet" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely" "29 m²" NA
"20" "57.9" "65" "1" " 5. kerület, Bajcsy-Zsilinszky út 40. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "4 m²" "29 375 Ft/hó"
