"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"11" "44.95" "81" "2" " 18. kerület, Nemes utca " "befejezetlen" "2018" "összkomfortos" "AA" "2" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "nincs" "11 999 Ft/hó" "igen" "külön és egyben is" "észak" "kertre nézo" NA "igen" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "3 M Ft"
"12" "40" "80" "3" " 16. kerület, Rigó utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "60 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"13" "21" "33" "1" " 20. kerület, Zamárdi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"14" "75" "83" "2" " 9. kerület, Viola utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "délkelet" "kertre nézo" "14.6 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "4 M Ft"
"15" "22.99" "31" "1" " 4. kerület, Lorinc utca 16. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"16" "24.5" "39" "2" " 8. kerület, Rákóczi út 69. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"17" "69.9" "89" "3" " 2. kerület, Rómer Flóris utca 34. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"18" "36.99" "65" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"19" "56" "120" "4" " 17. kerület, Flamingó utca " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "20 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" NA NA
"20" "15.8" "26" "1" " 19. kerület, Vas Gereben utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" NA NA
