"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara"
"11" "39.9" "45" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA
"12" "89.9" "98" "3" " 3. kerület, Rómaifürdo – Rómaipart " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "12 m²" NA "4 M Ft"
"13" "23.99" "39" "1" " 10. kerület, Zágrábi utca " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" "2 m²" NA NA
"14" "48.99" "40" "2" " 5. kerület, Belgrád rakpart " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" "2 m²" NA NA
"15" "99" "51" "1" " 1. kerület, Szentháromság utca " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"16" "80.9" "110" "3" " 22. kerület, Baross Gábor-telep " "újszeru" "2001-2010 között" "összkomfortos" "AA" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" "8 m²" NA NA
"17" "125" "151" "4" " 5. kerület, Vámház körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA
"18" "64" "84" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "19.91 m²" NA NA
"19" "44.9" "44" "1" " 3. kerület, Kocsis Sándor út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" NA "nincs megadva" NA NA NA
"20" "43.9" "55" "2" " 2. kerület, Margit körút " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
