"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "rezsikoltseg" "lakopark_neve"
"11" "52.9" "102" "4" " 3. kerület, Pacsirtamezo utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "2 m²" NA "18 000 Ft/hó" NA
"12" "144.9" "144" "4" " 2. kerület, Szemlohegy " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "10 m²" NA "80 000 Ft/hó" NA
"13" "157.5" "130" "4" " 11. kerület, Terrace Residence 4 by Cordia " "új építésu" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2021" "129 m²" "2.5 M Ft" NA "Terrace Residence 4 by Cordia"
"14" "89.5" "112" "4" " 8. kerület, Krúdy utca " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"15" "78" "63" "1" " 5. kerület, Bécsi utca " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "160" "129" "4" " 5. kerület, Reáltanoda utca " "nincs megadva" "luxus" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2015" NA NA NA NA
"17" "219.9" "160" "4" " 2. kerület, Ruthén út 21. " "új építésu" "luxus" "nincs megadva" "földszint" "4" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "48 m²" "5 M Ft" NA NA
"18" "64.9" "88" "3" " 2. kerület, Huvösvölgyi út " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"19" "43.9" "68" "3" " 14. kerület, Kassai utca " "jó állapotú" "komfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "észak" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1981-2000 között" "4.47 m²" NA NA NA
"20" "43.9" "63" "3" " 1. kerület, Víziváros – Váralja " "közepes állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
