"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"11" "199.99" "160" "2" " 7. kerület, Károly körút 13-15 " "újszeru" "1950-1980 között" "luxus" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"12" "560" "280" "5" " 5. kerület, Vörösmarty tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "68 m²" NA
"13" "34.9" "47" "2" " 9. kerület, Tompa utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "49.5" "52" "2" " 14. kerület, Csernyus utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - bérelheto" "van" NA "6 m²" NA
"15" "94.9" "120" "3" " 2. kerület, Fekete Sas utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "nincs" "26 000 Ft/hó" NA NA
"16" "29.9" "53" "2" " 4. kerület, Nyár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" "nincs megadva"
"17" "46.9" "59" "2" " 4. kerület, Vörösmarty utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "észak" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "25.2" "40" "1" " 15. kerület, Rákospalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "35.5" "71" "2" " 4. kerület, Újpest – Pozsonyi utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "nem vett részt"
"20" "33.5" "78" "4" " 15. kerület, Újpalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
