"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "66.9" "85" "3" " 8. kerület, Tolnai Lajos utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - bérelheto" NA "18 m²" NA NA
"12" "95" "125" "4" " 8. kerület, Rákóczi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"13" "57.9" "75" "3" " 14. kerület, Alsórákos " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "nem" "külön helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "106 m²" NA NA
"14" "21" "34" "1" " 20. kerület, Téglagyár tér 9. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "31.3" "54" "2" " 16. kerület, Futórózsa utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "40 000 Ft/hó" "4 m²" NA NA
"16" "33.8" "31" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"17" "28.9" "50" "2" " 13. kerület, Visegrádi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "5 m²" "nem vett részt" NA
"18" "25.9" "44" "1" " 15. kerület, Bartók Béla utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "36 000 Ft/hó" NA NA NA
"19" "33.9" "65" "2" " 15. kerület, Rákos út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"20" "67.5" "86" "2" " 9. kerület, Lónyay utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
