"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"11" "27.9" "45" "1" " 11. kerület, Fehérvári út " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"12" "490.1" "151" "2" " 12. kerület, Svábhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "2019" NA "79 m²" NA NA
"13" "33.9" "56" "2" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "16 m²" NA NA
"14" "140" "123" "3" " 13. kerület, Jászai Mari tér " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "15 m²" NA NA
"15" "20.9" "23" "1" " 3. kerület, Óbuda-Óváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "7 000 Ft/hó" NA NA NA
"16" "56.6" "74" "3" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "9 m²" NA NA
"17" "35.9" "60" "2" " 11. kerület, Tétényi út " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"18" "174.9" "359" "8" " 2. kerület, Alsó Zöldmáli út " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "önálló garázs - benne van az árban" "2001-2010 között" NA "10 m²" NA NA
"19" "85" "88" "4" " 3. kerület, Hunor utca " "újszeru" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2012" NA "4 m²" "6 M Ft" NA
"20" "22.5" "35" "1" " 21. kerület, Csepel-Királymajor " "felújított" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "25 000 Ft/hó" NA NA "nem vett részt"
