"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "129.9" "138" "4" " 2. kerület, Fillér utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" "1950-1980 között" "van" NA NA NA
"12" "30.99" "54" "2" " 22. kerület, Vihar utca " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "4 m²" NA
"13" "25.8" "57" "2" " 3. kerület, Szilke utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "21 Ft/hó" NA NA
"14" "27.5" "30" "1" " 11. kerület, Budafoki út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"15" "24.9" "28" "1" " 14. kerület, Jerney utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA "4 m²" NA
"16" "13.9" "20" "1" " 20. kerület, Jókai Mór utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"17" "19.9" "33" "1" " 10. kerület, Kápolna utca " "közepes állapotú" "összkomfortos" "H" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "nincs" NA NA NA
"18" "99.9" "123" "4" " 11. kerület, Madárhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely" "2019" NA NA "60 m²" NA
"19" "39.9" "50" "2" " 8. kerület, Rákóczi tér " "újszeru" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "2019" NA "15 000 Ft/hó" "3 m²" NA
"20" "27.9" "57" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" "nincs megadva" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
