"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "58" "54" "1" " 5. kerület, Szalay utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"12" "99" "96" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "közepes állapotú" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "nincs" NA NA NA NA
"13" "33.2" "42" "1" " 13. kerület, Váci út 170. " "felújított" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "30 000 Ft/hó" NA NA NA
"14" "29.4" "53" "3" " 15. kerület, Páskom park " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA "nincs megadva" NA
"15" "34" "55" "1" " 14. kerület, Adria sétány 2. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "2 m²" "nincs megadva" NA
"16" "49.99" "56" "2" " 13. kerület, Pannónia utca 22. " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "25 000 Ft/hó" "6 m²" NA NA
"17" "28.3" "55" "3" " 15. kerület, Sárfu utca " "jó állapotú" "nincs megadva" "D" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "40 000 Ft/hó" "4 m²" "részt vett" NA
"18" "18.9" "24" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "8 000 Ft/hó" NA NA NA
"19" "23.5" "36" "1" " 15. kerület, Bethlen Gábor utca 137. Fsz. 4. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"20" "94.9" "106" "3" " 2. kerület, Árpád fejedelem útja " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "5 m²" NA NA
