"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg"
"11" "37.7" "50" "2" " 14. kerület, Tanya utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"12" "75" "82" "2" " 2. kerület, Kuruclesi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "25 m²" "igen" "nem tetotéri" NA "önálló garázs - benne van az árban" "23 500 Ft/hó"
"13" "33.23" "68" "2" " 10. kerület, Mélytó utca 4. " "jó állapotú" NA "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"14" "32.5" "49" "1" " 14. kerület, Ond vezér útja 43. " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "3 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA
"15" "29.5" "38" "1" " 8. kerület, Bérkocsis utca 23. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "nincs megadva" "15 000 Ft/hó"
"16" "49.8" "64" "3" " 13. kerület, Victor Hugo utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"17" "69.9" "90" "2" " 7. kerület, Huszár utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"18" "38.2" "69" "2" " 4. kerület, Nádasdy Kálmán utca " "felújított" NA "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA
"19" "22.5" "35" "1" " 18. kerület, Havanna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"20" "36" "67" "2" " 4. kerület, Nádasdy Kálmán utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA
