"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "68.5" "66" "1" " 6. kerület, Liszt Ferenc tér " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "26.9" "25" "1" " 9. kerület, Lónyay utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"13" "85" "103" "4" " 6. kerület, Teréz körút " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "86.59" "104" "4" " 11. kerület, Péterhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "északnyugat" "udvari" "25.9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA NA
"15" "24.99" "24" "1" " 3. kerület, Bécsi út 102/AB " "új építésu" "2019" "luxus" "AA+" "1" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "47.4" "46" "2" " 13. kerület, Jakab József utca 15. " "új építésu" "2019" "duplakomfortos" "AA++" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, házközponti" NA "igen" "egy helyiségben" "dél" "kertre nézo" "11 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.9 M Ft" NA NA
"17" "59" "77" "3" " 13. kerület, Dolmány utca 10. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "14 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA NA
"18" "56" "71" "3" " 13. kerület, Dolmány utca 10. " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "13 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA NA
"19" "39.9" "64" "3" " 4. kerület, Újpest " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "udvari beálló - megvásárolható" NA "1 M Ft" NA NA
"20" "74.9" "79" "3" " 9. kerület, Ferenc körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
