"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "parkolohely_ara"
"11" "51.9" "63" "2" " 9. kerület, Tuzoltó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "27.9" "31" "1" " 3. kerület, Királyok útja " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "részt vett" NA
"13" "69.5" "72" "3" " 7. kerület, Garay utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" "van" NA NA
"14" "31.99" "72" "2" " 10. kerület, Gépmadár utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA "nincs megadva" NA
"15" "34.9" "55" "3" " 14. kerület, Füredi utca 60. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
"16" "32.99" "67" "2" " 4. kerület, Lóverseny tér " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nincs" "nem vett részt" NA
"17" "26.9" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA "nincs megadva" NA
"18" "28.9" "60" "2" " 10. kerület, Kozma utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" "4 m²" NA NA NA
"19" "87" "121" "4" " 3. kerület, Ürömhegy " "újszeru" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "36 m²" "van" NA NA
"20" "48.41" "62" "3" " 13. kerület, Hegedus Gyula utca 16. " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" NA NA NA
