"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "105" "87" "3" " 5. kerület, Váci utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "23.3" "29" "1" " 13. kerület, Rozsnyai utca 5. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "igen" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "10 000 Ft/hó" NA
"13" "52.5" "66" "2" " 2. kerület, Varsányi Irén utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "3 m²" NA NA NA
"14" "33.9" "60" "2" " 13. kerület, Vizafogó " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"15" "149.9" "149" "3" " 5. kerület, Váci utca " "felújított" "1950 elott" "duplakomfortos" "CC" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "10 m²" NA "48 000 Ft/hó" NA
"16" "27.9" "47" "2" " 7. kerület, Hernád utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "140.8" "125" "5" " 11. kerület, Sasad " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "26 m²" NA NA "5 M Ft"
"18" "29.5" "35" "1" " 6. kerület, Szív utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "15 000 Ft/hó" NA
"19" "98.1" "139" "5" " 4. kerület, Székesdulo " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "önálló garázs - benne van az árban" "58.24 m²" NA NA NA
"20" "38" "68" "3" " 14. kerület, Füredi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "3 m²" "nincs megadva" "9 000 Ft/hó" NA
