"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "lakopark_neve" "parkolohely_ara" "panelprogram"
"11" "79.05" "90" "4" " 3. kerület, Óbuda – Filatorigát " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "dél" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "7 m²" NA "3.85 M Ft" NA
"12" "37.9" "62" "3" " 19. kerület, Pannónia út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"13" "27.7" "58" "2" " 10. kerület, Ihász köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" NA "4.5 m²" NA NA NA
"14" "32.5" "57" "2" " 8. kerület, Teleki László tér 20. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA
"15" "34.99" "54" "2" " 18. kerület, Ráday Gedeon utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" NA "5 m²" NA NA NA
"16" "33.4" "53" "2" " 4. kerület, Lorinc utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "nincs megadva" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"17" "32.9" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "nincs megadva"
"18" "22.9" "28" "1" " 2. kerület, Huvösvölgyi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"19" "57.6" "70" "3" " 10. kerület, KOÉR KÖZ II. ÜTEM " "új építésu" "2021" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" NA "igen" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "8.3 m²" "KOÉR KÖZ II. ÜTEM" "3.6 M Ft" NA
"20" "87.89" "81" "3" " 2. kerület, Pusztaszeri út " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "13 m²" NA NA NA
