"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "40.9" "60" "2" " 9. kerület, Mester utca 53-55. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "40 000 Ft/hó" NA
"12" "53.9" "57" "2" " 8. kerület, Bródy Sándor utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "észak" "utcai" "2 m²" "nem" "nincs megadva" "utca, közterület" "van" NA NA NA
"13" "64.9" "64" "2" " 5. kerület, Belgrád rakpart " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"14" "54.9" "53" "2" " 7. kerület, Rózsa utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "3.9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "28.9" "56" "2" " 4. kerület, Pozsonyi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "nincs megadva"
"16" "33" "75" "3" " 16. kerület, Olga utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "35 000 Ft/hó" NA
"17" "63.61" "91" "3" " 13. kerület, Újlipótváros – Cézárház " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "27.9" "31" "1" " 3. kerület, Kiscelli utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "44.9" "60" "2" " 14. kerület, Alsórákos " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "31.9" "48" "1" " 8. kerület, Kun utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nem" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA "25 000 Ft/hó" NA
