"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"11" "35.9" "68" "3" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"12" "29.9" "45" "2" " 10. kerület, Ülloi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "egyéb kazán" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "nincs megadva" NA NA "van" NA
"13" "24.99" "51" "2" " 17. kerület, Újlak utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" "nincs" NA
"14" "39.9" "80" "4" " 10. kerület, Korösi Csoma Sándor út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "nincs" NA
"15" "74.11" "55" "1" " 6. kerület, Jókai tér " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA
"16" "24.5" "49" "2" " 10. kerület, Oltó utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"17" "52.5" "66" "2" " 2. kerület, Víziváros " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "94" "118" "3" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "23.59" "28" "1" " 7. kerület, Sajó utca 2. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "42.7" "54" "2" " 11. kerület, Nándorfejérvári út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
