"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "legkondicionalo" "rezsikoltseg"
"11" "58.2" "71" "3" " 6. kerület, Felso erdosor 1. " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA
"12" "44.5" "46" "2" " 3. kerület, Hunor utca 24-26 " "nincs megadva" "2019" "összkomfortos" "AA++" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4.5 m²" NA NA
"13" "79" "115" "4" " 2. kerület, Frankel Leó út 14. " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"14" "43.9" "68" "2" " 15. kerület, Szerencs utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko), elektromos" "igen" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "7 m²" "van" "20 000 Ft/hó"
"15" "31.9" "73" "2.5" " 17. kerület, Újlak utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA NA
"16" "38" "58" "2" " 22. kerület, Leányka utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA
"17" "22.8" "36" "1" " 18. kerület, Halomi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"18" "23.4" "33" "1" " 13. kerület, Tisza utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "20.5" "36" "1" " 4. kerület, Boröndös utca 26. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "17 000 Ft/hó"
"20" "23.7" "55" "2" " 20. kerület, Baross utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA NA
