"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "panelprogram" "parkolohely_ara"
"11" "25.9" "33" "1" " 14. kerület, Gyarmat utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "25 000 Ft/hó" NA "nincs" NA NA
"12" "26.9" "61" "2" " 14. kerület, Nagy Lajos király útja " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "3 m²" NA NA NA
"13" "23.9" "36" "1" " 15. kerület, Drégelyvár utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "20 000 Ft/hó" NA NA "nincs megadva" NA
"14" "36.8" "47" "2" " 6. kerület, Belso-Terézváros " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "van" NA NA
"15" "54.99" "81" "4" " 12. kerület, Kapitány utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "nincs" NA NA
"16" "16.8" "28" "1" " 13. kerület, Szent László út " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA "nincs" NA NA
"17" "51.9" "64" "2" " 13. kerület, Újlipótváros " "felújított" "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "van" NA NA
"18" "25" "53" "2" " 20. kerület, Tótfalusi Kis Miklós sétány 26. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva" NA
"19" "96" "130" "5" " 14. kerület, Róna utca " "új építésu" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "panorámás" "igen" "zárószint" "teremgarázs hely - kötelezo megvenni" "2020" NA "4 m²" "van" NA "4 M Ft"
"20" "23.8" "47" "2" " 15. kerület, Zsókavár utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA "részt vett" NA
