"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"11" "24" "53" "2" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "nem vett részt" NA
"12" "57.4" "50" "1" " 11. kerület, Eper utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló" NA "van" NA NA
"13" "75.4" "93" "3" " 14. kerület, Bosnyák utca 1. " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "26.5" "28" "1" " 13. kerület, Visegrádi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA NA
"15" "41.9" "37" "1" " 13. kerület, Rozsnyai utca 31. " "újszeru" "2001-2010 között" "összkomfortos" "AA++" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "igen" "egy helyiségben" "dél" "kertre nézo" "12 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "25 000 Ft/hó" "van" NA "2.9 M Ft"
"16" "73" "85" "2" " 5. kerület, Falk Miksa utca 12. " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "külön helyiségben" "délkelet" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "30.99" "63" "3" " 17. kerület, Ferihegyi út " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"18" "51" "60" "2" " 5. kerület, Kálvin tér " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "24.9" "40" "1" " 10. kerület, Halom utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "25 000 Ft/hó" "nincs" NA NA
"20" "26.2" "31" "2" " 8. kerület, Auróra utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
