"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"11" "69.9" "80" "4" " 3. kerület, Kolosy tér " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA NA
"12" "33.5" "47" "1" " 13. kerület, Angyalföld " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "3 m²" NA NA
"13" "37.9" "53" "2" " 3. kerület, Silvanus sétány " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA "nincs megadva" NA
"14" "42" "48" "2" " 11. kerület, Csóka utca " "felújított" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA
"15" "27.5" "32" "1" " 6. kerület, Király utca " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "111.9" "112" "4" " 2. kerület, Gábor Áron utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "van" "7 m²" NA NA
"17" "32" "55" "2" " 14. kerület, Ond vezér útja " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "részt vett" NA
"18" "39.5" "51" "2" " 3. kerület, Amfiteátrum utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "12 m²" "nincs megadva" NA
"19" "35.75" "41" "2" " 10. kerület, Újhegyi út " "újszeru" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" "van" "4 m²" NA "10 500 Ft/hó"
"20" "47.4" "54" "3" " 3. kerület, Fényes Adolf utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "igen" "nem tetotéri" "udvari beálló" "1950 elott" NA NA NA "23 000 Ft/hó"
