"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg"
"11" "65.9" "125" "4" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA
"12" "90.9" "108" "3" " 2. kerület, Frankel Leó út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"13" "50.5" "73" "2" " 3. kerület, Bécsi út " "jó állapotú" NA "komfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "1.2 m²" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"14" "65" "68" "3" " 8. kerület, Somogyi Béla utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "nincs" NA
"15" "64.9" "64" "3" " 6. kerület, Jókai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"16" "57.5" "73" "2" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"17" "44.5" "61" "2" " 3. kerület, Zápor utca " "jó állapotú" NA "komfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"18" "24.9" "50" "1" " 15. kerület, Alkotmány utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"19" "33.5" "52" "2" " 14. kerület, Varsó utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"20" "29.9" "62" "3" " 15. kerület, Csorvás utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA
