"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg"
"11" "68.9" "113" "3" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"12" "27.9" "64" "2" " 15. kerület, Páskomliget utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "3 m²" NA NA
"13" "31.9" "73" "3" " 17. kerület, Újlak utca " "felújított" "1981-2000 között" "összkomfortos" "A" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "3 m²" NA "9 300 Ft/hó"
"14" "28" "57" "2" " 3. kerület, Gyuru utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "69.9" "93" "4" " 14. kerület, Alsórákos " "nincs megadva" "2019" "duplakomfortos" "CC" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" "16 m²" "2.8 M Ft" "25 000 Ft/hó"
"16" "48" "70" "2" " 7. kerület, Dembinszky utca 36. " "felújított" "1950 elott" "komfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"17" "39.9" "100" "3" " 18. kerület, Széchenyi István utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "BB" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "kertre nézo" "igen" "tetotéri" NA "udvari beálló - benne van az árban" "11 m²" NA "10 000 Ft/hó"
"18" "18.9" "45" "1" " 10. kerület, Bihari utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"19" "79.9" "94" "4" " 8. kerület, Tisztviselotelep " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "utcai" "nem" "tetotéri" NA "utca, közterület" NA NA NA
"20" "299" "394" "11" " 3. kerület, Mátyáshegy " "jó állapotú" "1981-2000 között" "luxus" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "panorámás" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" "123 m²" NA NA
