"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "36.9" "57" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"12" "26" "58" "2" " 20. kerület, Berkenye sétány 5. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "utca, közterület" "12 400 Ft/hó" NA NA NA
"13" "28.9" "32" "1" " 9. kerület, Márton utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"14" "29.99" "30" "1" " 13. kerület, Hegedus Gyula utca " "jó állapotú" NA "komfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"15" "108.78" "87" "2" " 5. kerület, Kossuth Lajos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"16" "17.99" "35" "1" " 21. kerület, Kossuth Lajos utca 142. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" "7 000 Ft/hó" NA "6 m²" NA
"17" "29" "30" "1" " 9. kerület, Vágóhíd utca 21. " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA "van" "2 m²" NA
"18" "41.99" "51" "2" " 11. kerület, Mohai köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" NA "nincs" "4 m²" NA
"19" "79.9" "86" "2" " 7. kerület, Dob utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "2 m²" NA
"20" "39.9" "41" "2" " 9. kerület, Mester utca 5. " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA NA NA "4.5 M Ft"
