"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"11" "54.5" "48" "1" " 12. kerület, Böszörményi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"12" "39.9" "64" "2" " 13. kerület, Kresz Géza utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "15 000 Ft/hó" "nem" "külön helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "34.9" "58" "2" " 15. kerület, Mozdonyfuto utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "68.9" "96" "2" " 11. kerület, Lágymányosi utca 12. " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"15" "26" "50" "1" " 5. kerület, Vigadó tér 3. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "házközponti, egyéb kazán" "nincs" "12 000 Ft/hó" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA
"16" "43.99" "49" "2" " 13. kerület, Kerekes utca " "újszeru" "2001-2010 között" "összkomfortos" "CC" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"17" "68.9" "126" "4" " 10. kerület, Harmat utca 10-12 " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "egyéb" "nincs" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "8 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA
"18" "24.9" "35" "1" " 10. kerület, Lavotta utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "egy helyiségben" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA
"19" "23.5" "49" "2" " 19. kerület, Nádasdy utca " "közepes állapotú" NA "komfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"20" "21" "44" "1" " 14. kerület, Gervay utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "11 000 Ft/hó" "nem" "egy helyiségben" "kelet" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
