"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara" "panelprogram"
"11" "30.8" "26" "1" " 8. kerület, Víg utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"12" "25.79" "26" "1" " 7. kerület, Cserhát utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA NA
"13" "39.9" "80" "2" " 1. kerület, Tóth Árpád sétány " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA NA
"14" "51" "66" "2" " 3. kerület, Csillaghegy " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" "10 m²" NA NA NA NA NA
"15" "32" "64" "3" " 8. kerület, Baross utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "zárószint" "utca, közterület - ingyenes" "3 m²" "van" "15 000 Ft/hó" NA NA "nincs megadva"
"16" "38.99" "41" "1" " 8. kerület, Práter Park 2. " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "19 m²" NA NA "Práter Park 2." "4 M Ft" NA
"17" "39.99" "42" "1" " 8. kerület, Práter Park 2. " "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 m²" NA NA "Práter Park 2." "4 M Ft" NA
"18" "139" "136" "3" " 3. kerület, Remetehegy " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "58 m²" NA NA NA NA NA
"19" "81" "105" "2" " 5. kerület, Nádor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "15 000 Ft/hó" NA NA NA
"20" "47.9" "80" "2" " 7. kerület, Nefelejcs utca 45. " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA "van" NA NA NA NA
