"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "parkolohely_ara"
"11" "89" "81" "2" " 5. kerület, Hold utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "1 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA
"12" "340" "118" "3" " 13. kerület, Újlipótváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "15 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "23 000 Ft/hó" NA
"13" "33.9" "65" "2" " 8. kerület, Vajda Péter utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"14" "57.9" "60" "3" " 7. kerület, Nagy Diófa utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "nincs megadva" "északkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"15" "58" "71" "2" " 7. kerület, Izabella utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"16" "40.9" "58" "1" " 8. kerület, II. János Pál pápa tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"17" "80.5" "101" "3" " 9. kerület, Ülloi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" NA "utca, közterület" NA NA
"18" "57.9" "69" "2" " 3. kerület, Táborhegy " "újszeru" "2011" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" NA NA
"19" "42.9" "61" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "délnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"20" "52.6" "60" "2" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "35 000 Ft/hó" NA
