"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg"
"11" "72.9" "77" "3" " 5. kerület, Lipótváros " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "37 000 Ft/hó"
"12" "53" "80" "3" " 6. kerület, Szív utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "50 000 Ft/hó"
"13" "32" "36" "1" " 13. kerület, Váci út 64. " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA
"14" "26.8" "37" "1" " 6. kerület, Székely Bertalan utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "35 000 Ft/hó"
"15" "19.9" "44" "1" " 16. kerület, Kossuth Lajos utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "északkelet" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA
"16" "31.9" "52" "2" " 8. kerület, II. János Pál pápa tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "10 000 Ft/hó"
"17" "74.9" "105" "4" " 13. kerület, Újlipótváros " "nincs megadva" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "16 000 Ft/hó"
"18" "32.5" "44" "1" " 3. kerület, Kiscelli köz " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "70" "95" "3" " 8. kerület, József körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"20" "49.99" "68" "2" " 12. kerület, Maros utca 38. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "6" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "északnyugat" "kertre nézo" "1 m²" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "37 000 Ft/hó"
