"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"11" "68.9" "70" "2" " 12. kerület, Tamási Áron utca 43. " "jó állapotú" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti" "28 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" NA "utca, közterület - ingyenes" NA NA "10 m²" NA
"12" "46" "42" "1" " 6. kerület, Király utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"13" "38.9" "78" "3" " 10. kerület, Ihász utca 3./d " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "25 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" "van" NA NA
"14" "164.9" "75" "3" " 5. kerület, Lipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "3 m²" NA
"15" "184" "193" "5" " 3. kerület, Táborhegy " "nincs megadva" "luxus" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "70 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - benne van az árban" "2018" "van" "15 m²" NA
"16" "103" "200" "6" " 3. kerület, Aranypatak utca 67. " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "önálló garázs - benne van az árban" "1981-2000 között" "nincs" NA NA
"17" "64.9" "62" "2" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"18" "27.7" "55" "2" " 15. kerület, Drégelyvár utca 5. " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA "nincs megadva"
"19" "24.9" "37" "1" " 8. kerület, Delej utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "13 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "udvari beálló - bérelheto" "1950-1980 között" NA "2 m²" NA
"20" "74.9" "63" "2" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "14 m²" NA
