"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara" "erkely" "panelprogram"
"11" "27.9" "55" "2" " 15. kerület, Páskomliget utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA "nincs megadva"
"12" "64.89" "81" "2" " 13. kerület, Hollán Erno utca " "felújítandó" "duplakomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"13" "85" "250" "10" " 8. kerület, Mária utca " "felújítandó" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"14" "56.9" "86" "3" " 8. kerület, Bíró Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"15" "52" "84" "2.5" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"16" "39.9" "64" "2" " 8. kerület, Mária utca " "újszeru" "duplakomfortos" "nincs megadva" "4" "5" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nem" "tetotéri" "utca, közterület" "2019" NA NA NA NA
"17" "37.9" "78" "2" " 8. kerület, József utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"18" "31" "60" "2" " 8. kerület, Alföldi utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"19" "70.9" "93" "3" " 8. kerület, Baross utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"20" "37.9" "108" "3" " 8. kerület, Koszorú utca " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
