"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "lakopark_neve" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "44.89" "55" "2" " 5. kerület, Múzeum körút " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "27.9" "57" "2" " 3. kerület, Bálint György utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"13" "18.9" "37" "1" " 20. kerület, Erzsébetfalva " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"14" "143.75" "121" "3" " 8. kerület, Bródy Sándor utca 9. " "újszeru" "1950 elott" "luxus" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA NA
"15" "75" "103" "3" " 8. kerület, Szentkirályi utca " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "76" "76" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA NA
"17" "33.3" "47" "2" " 15. kerület, Deák utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "4 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA NA
"18" "77.9" "45" "1" " 5. kerület, Belgrád rakpart " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" NA NA NA NA
"19" "75" "60" "1" " 1. kerület, Tárnok utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"20" "94.79" "101" "3" " 11. kerület, Mikes Kelemen utca " "nincs megadva" "2019" "duplakomfortos" "AA" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, fan-coil" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "37 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "4.5 M Ft" NA NA
