"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "47.5" "50" "2" " 14. kerület, Bolgárkertész utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "2 m²" NA NA NA
"12" "99.6" "83" "2" " 6. kerület, Anker köz " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA "37 500 Ft/hó" NA
"13" "44.9" "93" "3" " 21. kerület, II. Rákóczi Ferenc út 107-115 " "újszeru" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "fan-coil" "igen" "külön és egyben is" "délnyugat" "utcai" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "5.88 m²" NA "20 000 Ft/hó" NA
"14" "98" "94" "3" " 1. kerület, Víziváros – Váralja " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" "nem" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "4 m²" NA NA NA
"15" "24.5" "27" "1" " 1. kerület, Pauler utca 5. " "felújítandó" "komfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "10 m²" NA "17 000 Ft/hó" NA
"16" "62" "140" "4" " 18. kerület, Gloriett-telep " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs" "2019" "nincs" "12 m²" NA NA NA
"17" "33.2" "48" "2" " 11. kerület, Allende park " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "4 m²" "nem vett részt" NA NA
"18" "35.3" "52" "2" " 11. kerület, Allende park " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA "nem vett részt" NA NA
"19" "36" "63" "2" " 11. kerület, Andor utca " "felújítandó" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "6 m²" "nem vett részt" NA NA
"20" "85.9" "127" "3" " 14. kerület, Paskál utca " "felújított" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), egyéb" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "1981-2000 között" "van" "9 m²" NA NA "7 M Ft"
