"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara" "lakopark_neve"
"11" "29.9" "43" "1" " 8. kerület, Orczy tér " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - bérelheto" NA "12 000 Ft/hó" NA
"12" "140.27" "131" "4" " 11. kerület, Terrace Residence 4 by Cordia " "új építésu" "2021" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "teremgarázs hely - megvásárolható" "83 m²" "2.5 M Ft" "Terrace Residence 4 by Cordia"
"13" "49.9" "66" "2" " 6. kerület, Szív utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"14" "193" "155" "4" " 5. kerület, József nádor tér 10. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"15" "57.81" "89" "2" " 10. kerület, Halom utca 12. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs" NA "nincs megadva" "külön helyiségben" "észak" "nincs megadva" "igen" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "12.9 m²" "2 M Ft" NA
"16" "45.75" "63" "2" " 6. kerület, Belso-Terézváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "74.9" "70" "3" " 2. kerület, Rózsadomb " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" NA "nem" "külön és egyben is" "észak" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA
"18" "39.99" "53" "1" " 22. kerület, III. utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nem" "egy helyiségben" "délnyugat" "panorámás" "nem" "tetotéri" NA "teremgarázs hely - kötelezo megvenni" "4.95 m²" "4 M Ft" NA
"19" "21" "47" "1" " 21. kerület, Ady Endre út " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "több mint 10" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA NA
"20" "114.9" "136" "4" " 2. kerület, Fenyves utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "udvari beálló" "19 m²" NA NA
