"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo"
"11" "24.9" "50" "2" " 22. kerület, Nagytétény – Bartók Béla úti lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "18.3" "35" "1" " 4. kerület, Mildenberger utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"13" "25.5" "35" "1" " 4. kerület, Závodszky Zoltán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó" "nem vett részt" NA
"14" "32.9" "38" "1" " 13. kerület, Béke tér " "nincs megadva" "2019" "összkomfortos" "AA+" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel, házközponti" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1 Ft/hó" NA NA
"15" "32.9" "58" "2" " 19. kerület, Kispest-Kertváros " "újszeru" "2016" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs"
"16" "38.9" "71" "3" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"17" "40.99" "67" "2" " 7. kerület, Belso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "48.6" "58" "2" " 13. kerület, Angyalföld " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van"
"19" "27.49" "50" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"20" "55.6" "52" "2" " 2. kerület, Horvát utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "nincs megadva" "utcai" "3.4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
